FIELD	COUNT	DESC
ReadPairs_NoGene_Intron	2227209	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	887579	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	1810264	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	851471	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	69453	Number of known genes
Genes_WithZeroCounts	59111	Number of genes with zero observed reads
Genes_WithNonzeroCounts	10342	Number of genes with 1 or more observed reads
AVG_GC	0.4730128939800542	Average GC fraction across all reads
AggregateGenes	29256	Number of aggregate genes
AggregateGenes_NoReads	15575	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	13681	Number of aggregate genes with 1 or more observed reads
SpliceLoci	255003	Number of splice loci observed
SpliceLoci_Known	247714	Number of known splice loci
SpliceLoci_Known_NoReads	231571	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	3519	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	12624	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	7289	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	3990	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	3299	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	2207589	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	664500	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	6518	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	657982	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	1543089	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	6206	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	1536883	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	94168	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	8858261	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	209125	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	5776523	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	185	Number of chromosomes with 1 or more aligned reads.
deletionLoci	7179	Number of observed deletion loci
insertionLoci	5032	Number of observed insertion loci
deletionEventCt	41112	Number of times deletions are observed in a read
insertionEventCt	29724	Number of times insertions are observed in a read
highCoverageDeletionLoci	2030	Number of high-coverage deletion loci.
highCoverageInsertionLoci	1604	Number of high-coverage insertion loci
NumReadsAtMaxReadLength_R1	14938077	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	0	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	51	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1559254348802	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1559255005477	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
